Pk,Team,Player,College,Year,Pro_height,Pro_weight,DOB
45,MIN,nick-calathes,Florida,2009,78.0,213.0,2/7/1989
46,CLE,danny-green,UNC,2009,78.0,215.0,6/22/1987
47,MIN,henk-norel,,2009,83.0,230.0,9/17/1987
48,PHO,taylor-griffin,Oklahoma,2009,79.0,238.0,4/18/1986
49,ATL,sergiy-gladyr,,2009,77.0,190.0,10/17/1989
50,UTA,goran-suton,Michigan State,2009,,,
51,SAS,jack-mcclinton,Miami (FL),2009,,,
52,IND,a.j.-price,UConn,2009,74.0,181.0,10/7/1986
53,SAS,nando-de-colo,,2009,77.0,200.0,6/23/1987
54,CHA,robert-vaden,UAB,2009,,,
55,POR,patty-mills,Saint Mary's,2009,73.0,180.0,8/11/1988
56,DAL,ahmad-nivins,Saint Joseph's,2009,,,
57,PHO,emir-preldzic,,2009,81.0,220.0,9/6/1987
58,BOS,lester-hudson,University of Tennessee at Martin,2009,75.0,190.0,8/7/1984
59,LAL,chinemelu-elonu,Texas A&M,2009,82.0,235.0,3/11/1987
60,MIA,robert-dozier,Memphis,2009,,,
1,WAS,john-wall,Kentucky,2010,75.0,210.0,9/6/1990
2,PHI,evan-turner,Ohio State,2010,78.0,220.0,10/27/1988
3,NJN,derrick-favors,Georgia Tech,2010,80.0,265.0,7/15/1991
4,MIN,wesley-johnson,Syracuse,2010,79.0,215.0,7/11/1987
5,SAC,demarcus-cousins,Kentucky,2010,82.0,270.0,8/13/1990
6,GSW,ekpe-udoh,Baylor,2010,82.0,245.0,5/20/1987
7,DET,greg-monroe,Georgetown,2010,83.0,265.0,6/4/1990
8,LAC,al-farouq-aminu,Wake Forest,2010,80.0,220.0,9/21/1990
9,UTA,gordon-hayward,Butler,2010,79.0,225.0,3/23/1990
10,IND,paul-george,Fresno State,2010,80.0,220.0,5/2/1990
11,NOH,cole-aldrich,Kansas,2010,83.0,250.0,10/31/1988
12,MEM,xavier-henry,Kansas,2010,78.0,220.0,3/15/1991
13,TOR,ed-davis,UNC,2010,81.0,218.0,6/5/1989
14,HOU,patrick-patterson,Kentucky,2010,80.0,235.0,3/14/1989
15,MIL,larry-sanders,VCU,2010,83.0,235.0,11/21/1988
16,MIN,luke-babbitt,Nevada,2010,81.0,225.0,6/20/1989
17,CHI,kevin-seraphin,,2010,81.0,285.0,12/7/1989
18,OKC,eric-bledsoe,Kentucky,2010,73.0,214.0,12/9/1989
19,BOS,avery-bradley,Texas,2010,75.0,180.0,11/26/1990
20,SAS,james-anderson,Oklahoma State,2010,78.0,213.0,3/25/1989
21,OKC,craig-brackins,Iowa State,2010,82.0,230.0,10/9/1987
22,POR,elliot-williams,Memphis,2010,77.0,190.0,6/20/1989
23,MIN,trevor-booker,Clemson,2010,80.0,228.0,11/25/1987
24,ATL,damion-james,Texas,2010,79.0,225.0,10/7/1987
25,MEM,dominique-jones,South Florida,2010,76.0,215.0,10/15/1988
26,OKC,quincy-pondexter,Washington,2010,79.0,230.0,3/10/1988
27,NJN,jordan-crawford,Xavier,2010,76.0,195.0,10/23/1988
28,MEM,greivis-vasquez,Maryland,2010,78.0,217.0,1/16/1987
29,ORL,daniel-orton,Kentucky,2010,82.0,255.0,8/6/1990
30,WAS,lazar-hayward,Marquette,2010,78.0,225.0,11/26/1986
31,NJN,tibor-plei,,2010,87.0,256.0,11/2/1989
32,MIA,dexter-pittman,Texas,2010,83.0,308.0,3/2/1988
33,SAC,hassan-whiteside,Marshall,2010,84.0,265.0,6/13/1989
34,POR,armon-johnson,Nevada,2010,75.0,195.0,2/23/1989
35,WAS,nemanja-bjelica,,2010,82.0,234.0,5/9/1988
36,DET,terrico-white,Ole Miss,2010,,,
37,MIL,darington-hobson,New Mexico,2010,79.0,210.0,9/29/1987
38,NYK,andy-rautins,Syracuse,2010,76.0,190.0,11/2/1986
39,NYK,landry-fields,Stanford,2010,79.0,210.0,6/27/1988
40,IND,lance-stephenson,Cincinnati,2010,78.0,230.0,9/5/1990
41,MIA,jarvis-varnado,Mississippi State,2010,81.0,230.0,3/1/1988
42,MIA,da'sean-butler,West Virginia,2010,,,
43,LAL,devin-ebanks,West Virginia,2010,81.0,215.0,10/28/1989
44,MIL,jerome-jordan,Tulsa,2010,84.0,253.0,9/29/1986
45,MIN,paulao-prestes,,2010,83.0,260.0,2/15/1988
46,PHO,gani-lawal,Georgia Tech,2010,81.0,234.0,11/7/1988
47,MIL,tiny-gallon,Oklahoma,2010,,,
48,MIA,latavious-williams,,2010,80.0,195.0,3/29/1989
49,SAS,ryan-richards,,2010,83.0,265.0,4/24/1991
50,DAL,solomon-alabi,Florida State,2010,85.0,251.0,3/21/1988
51,OKC,magnum-rolle,Louisiana Tech,2010,,,
52,BOS,luke-harangody,Notre Dame,2010,80.0,246.0,1/2/1988
53,ATL,pape-sy,,2010,79.0,225.0,4/5/1988
54,LAC,willie-warren,Oklahoma,2010,76.0,203.0,10/22/1989
55,UTA,jeremy-evans,Western Kentucky,2010,81.0,200.0,10/24/1987
56,MIN,hamady-n'diaye,Rutgers University,2010,84.0,235.0,1/12/1987
57,IND,ryan-reid,Florida State,2010,80.0,232.0,10/30/1986
58,LAL,derrick-caracter,Texas-El Paso,2010,81.0,275.0,5/4/1988
59,ORL,stanley-robinson,UConn,2010,,,
60,PHO,dwayne-collins,Miami (FL),2010,81.0,240.0,4/13/1988
1,CLE,kyrie-irving,Duke,2011,74.0,195.0,3/23/1992
2,MIN,derrick-williams,Arizona,2011,80.0,240.0,5/25/1991
3,UTA,enes-kanter,,2011,82.0,250.0,5/20/1992
4,CLE,tristan-thompson,Texas,2011,81.0,254.0,3/13/1991
5,TOR,jonas-valanciunas,,2011,83.0,265.0,5/6/1992
6,WAS,jan-vesely,,2011,83.0,240.0,4/24/1990
7,SAC,bismack-biyombo,,2011,80.0,255.0,8/28/1992
8,DET,brandon-knight,Kentucky,2011,74.0,182.0,12/2/1991
9,CHA,kemba-walker,UConn,2011,72.0,184.0,5/8/1990
10,MIL,jimmer-fredette,BYU,2011,74.0,195.0,2/25/1989
11,GSW,klay-thompson,Washington State,2011,78.0,215.0,2/8/1990
12,UTA,alec-burks,Colorado,2011,78.0,214.0,7/20/1991
13,PHO,markieff-morris,Kansas,2011,81.0,245.0,9/2/1989
14,HOU,marcus-morris,Kansas,2011,80.0,218.0,9/2/1989
15,IND,kawhi-leonard,San Diego State,2011,79.0,225.0,6/29/1991
16,PHI,nikola-vucevic,USC,2011,83.0,260.0,10/24/1990
17,NYK,iman-shumpert,Georgia Tech,2011,77.0,215.0,6/26/1990
18,WAS,chris-singleton,Florida State,2011,80.0,230.0,11/21/1989
19,CHA,tobias-harris,Tennessee,2011,80.0,226.0,7/15/1992
20,MIN,donatas-motiejunas,,2011,84.0,222.0,9/20/1990
21,POR,nolan-smith,Duke,2011,74.0,185.0,7/25/1988
22,DEN,kenneth-faried,Morehead State University,2011,80.0,220.0,11/19/1989
23,HOU,nikola-mirotic,,2011,82.0,250.0,2/11/1991
24,OKC,reggie-jackson,Boston College,2011,74.0,208.0,4/16/1990
25,BOS,marshon-brooks,Providence,2011,77.0,200.0,1/26/1989
26,DAL,jordan-hamilton,Texas,2011,79.0,220.0,10/6/1990
27,NJN,jajuan-johnson,Purdue,2011,82.0,221.0,2/8/1989
28,CHI,norris-cole,Cleveland State University,2011,74.0,175.0,10/13/1988
29,SAS,cory-joseph,Texas,2011,75.0,200.0,8/20/1991
30,CHI,jimmy-butler,Marquette,2011,79.0,230.0,9/14/1989
31,MIA,bojan-bogdanovic,,2011,80.0,226.0,4/18/1989
32,CLE,justin-harper,Richmond,2011,82.0,225.0,8/30/1989
33,DET,kyle-singler,Duke,2011,80.0,228.0,5/4/1988
34,WAS,shelvin-mack,Butler,2011,75.0,203.0,4/22/1990
35,SAC,tyler-honeycutt,UCLA,2011,80.0,188.0,7/15/1990
36,NJN,jordan-williams,Maryland,2011,82.0,260.0,10/11/1990
37,LAC,trey-thompkins,Georgia,2011,82.0,245.0,5/20/1990
38,HOU,chandler-parsons,Florida,2011,81.0,230.0,10/25/1988
39,CHA,jeremy-tyler,,2011,82.0,260.0,6/21/1991
40,MIL,jon-leuer,Wisconsin,2011,82.0,228.0,5/14/1989
41,LAL,darius-morris,Michigan,2011,76.0,190.0,1/3/1991
42,IND,davis-bertans,,2011,82.0,225.0,11/12/1992
43,CHI,malcolm-lee,UCLA,2011,77.0,200.0,5/22/1990
44,GSW,charles-jenkins,Hofstra,2011,75.0,220.0,2/28/1989
45,NOH,josh-harrellson,Kentucky,2011,82.0,275.0,2/12/1989
46,LAL,andrew-goudelock,College of Charleston,2011,75.0,200.0,12/7/1988
47,LAC,travis-leslie,Georgia,2011,76.0,205.0,3/29/1990
48,ATL,keith-benson,Oakland,2011,83.0,240.0,8/13/1988
49,MEM,josh-selby,Kansas,2011,74.0,183.0,3/27/1991
50,PHI,lavoy-allen,Temple,2011,81.0,260.0,2/4/1989
51,POR,jon-diebler,Ohio State,2011,78.0,205.0,6/22/1988
52,DET,vernon-macklin,Florida,2011,82.0,227.0,9/20/1986
53,ORL,deandre-liggins,Kentucky,2011,78.0,209.0,3/31/1988
54,CLE,milan-macvan,,2011,81.0,265.0,11/16/1989
55,BOS,e'twaun-moore,Purdue,2011,75.0,191.0,2/25/1989
56,LAL,chukwudiebere-maduabum,,2011,81.0,210.0,3/19/1991
57,DAL,targuy-ngombo,,2011,,,
58,LAL,ater-majok,,2011,82.0,233.0,7/4/1987
59,SAS,adam-hanga,,2011,79.0,205.0,4/12/1989
60,SAC,isaiah-thomas,Washington,2011,69.0,185.0,2/7/1989
1,NOH,anthony-davis,Kentucky,2012,82.0,253.0,3/11/1993
2,CHA,michael-kidd-gilchrist,Kentucky,2012,78.0,232.0,9/26/1993
3,WAS,bradley-beal,Florida,2012,75.0,207.0,6/28/1993
4,CLE,dion-waiters,Syracuse,2012,75.0,215.0,12/10/1991
5,SAC,thomas-robinson,Kansas,2012,82.0,237.0,3/17/1991
6,POR,damian-lillard,Weber State,2012,74.0,195.0,7/15/1990
7,GSW,harrison-barnes,UNC,2012,80.0,225.0,5/30/1992
8,TOR,terrence-ross,Washington,2012,78.0,206.0,2/5/1991
9,DET,andre-drummond,UConn,2012,82.0,279.0,8/10/1993
10,NOH,austin-rivers,Duke,2012,76.0,200.0,8/1/1992
11,POR,meyers-leonard,Illinois,2012,84.0,260.0,2/27/1992
12,HOU,jeremy-lamb,UConn,2012,77.0,180.0,5/30/1992
13,PHO,kendall-marshall,UNC,2012,76.0,200.0,8/19/1991
14,MIL,john-henson,UNC,2012,81.0,219.0,12/28/1990
15,PHI,maurice-harkless,St. John's,2012,79.0,220.0,5/11/1993
16,HOU,royce-white,Iowa State,2012,80.0,270.0,4/10/1991
17,DAL,tyler-zeller,UNC,2012,84.0,253.0,1/17/1990
18,HOU,terrence-jones,Kentucky,2012,81.0,252.0,1/9/1992
19,ORL,andrew-nicholson,St. Bonaventure,2012,81.0,250.0,12/8/1989
20,DEN,evan-fournier,,2012,79.0,205.0,10/29/1992
21,BOS,jared-sullinger,Ohio State,2012,81.0,260.0,3/4/1992
22,BOS,fab-melo,Syracuse,2012,84.0,255.0,6/20/1990
23,ATL,john-jenkins,Vanderbilt,2012,76.0,215.0,3/6/1991
24,CLE,jared-cunningham,Oregon State,2012,76.0,195.0,5/22/1991
25,MEM,tony-wroten,Washington,2012,78.0,205.0,4/13/1993
26,IND,miles-plumlee,Duke,2012,83.0,249.0,9/1/1988
27,MIA,arnett-moultrie,Mississippi State,2012,83.0,249.0,11/18/1990
28,OKC,perry-jones,Baylor,2012,83.0,235.0,9/24/1991
29,CHI,marquis-teague,Kentucky,2012,74.0,189.0,2/28/1993
30,GSW,festus-ezeli,Vanderbilt,2012,83.0,255.0,10/21/1989
31,CHA,jeff-taylor,Vanderbilt,2012,79.0,225.0,5/23/1989
32,WAS,tomas-satoransky,,2012,79.0,210.0,10/30/1991
33,CLE,bernard-james,Florida State,2012,82.0,240.0,2/7/1985
34,CLE,jae-crowder,Marquette,2012,78.0,235.0,7/6/1990
35,GSW,draymond-green,Michigan State,2012,78.0,230.0,3/4/1990
36,SAC,orlando-johnson,UC Santa Barbara,2012,77.0,220.0,3/11/1989
37,TOR,quincy-acy,Baylor,2012,79.0,240.0,10/6/1990
38,DEN,quincy-miller,Baylor,2012,81.0,210.0,11/18/1992
39,DET,khris-middleton,Texas A&M,2012,79.0,222.0,8/12/1991
40,POR,will-barton,Memphis,2012,78.0,181.0,1/6/1991
41,POR,tyshawn-taylor,Kansas,2012,75.0,185.0,4/12/1990
42,MIL,doron-lamb,Kentucky,2012,76.0,210.0,11/6/1991
43,ATL,mike-scott,Virginia,2012,79.0,237.0,7/16/1988
44,DET,kim-english,Missouri,2012,78.0,200.0,9/24/1988
45,PHI,justin-hamilton,LSU,2012,84.0,260.0,4/1/1990
46,NOH,darius-miller,Kentucky,2012,78.0,225.0,3/21/1990
47,UTA,kevin-murphy,Tennessee Technological University,2012,77.0,185.0,3/6/1990
48,NYK,kostas-papanikolaou,,2012,80.0,225.0,7/31/1990
49,ORL,kyle-o'quinn,Norfolk State,2012,81.0,250.0,3/26/1990
50,DEN,izzet-turkylmaz,,2012,84.0,210.0,5/20/1990
51,BOS,kris-joseph,Syracuse,2012,79.0,210.0,12/17/1988
52,GSW,ognjen-kuzmic,,2012,85.0,251.0,5/16/1990
53,LAC,furkan-aldemir,,2012,82.0,240.0,8/9/1991
54,PHI,tornike-shengelia,,2012,81.0,217.0,10/5/1991
55,DAL,darius-johnson-odom,Marquette,2012,74.0,215.0,9/28/1989
56,TOR,tomislav-zubcic,,2012,83.0,212.0,1/7/1990
57,NJN,ilkan-karaman,,2012,81.0,254.0,5/13/1990
58,MIN,robbie-hummel,Purdue,2012,80.0,215.0,3/8/1989
59,SAS,marcus-denmon,Missouri,2012,75.0,185.0,3/20/1990
60,LAL,robert-sacre,Gonzaga,2012,84.0,270.0,6/6/1989
1,CLE,anthony-bennett,UNLV,2013,80.0,245.0,3/14/1993
2,ORL,victor-oladipo,Indiana,2013,76.0,213.0,5/4/1992
3,WAS,otto-porter,Georgetown,2013,80.0,198.0,6/3/1993
4,CHA,cody-zeller,Indiana,2013,83.0,240.0,10/5/1992
5,PHO,alex-len,Maryland,2013,84.0,250.0,6/16/1993
6,NOH,nerlens-noel,Kentucky,2013,83.0,220.0,4/10/1994
7,SAC,ben-mclemore,Kansas,2013,75.0,195.0,2/11/1993
8,DET,kentavious-caldwell-pope,Georgia,2013,77.0,204.0,2/18/1993
9,MIN,trey-burke,Michigan,2013,72.0,185.0,11/12/1992
10,POR,cj-mccollum,Lehigh,2013,75.0,190.0,9/19/1991
11,PHI,michael-carter-williams,Syracuse,2013,77.0,190.0,10/10/1991
12,OKC,steven-adams,Pitt,2013,83.0,265.0,7/20/1993
13,DAL,kelly-olynyk,Gonzaga,2013,83.0,240.0,4/19/1991
14,UTA,shabazz-muhammad,UCLA,2013,78.0,223.0,11/13/1992
15,MIL,giannis-antetokounmpo,,2013,83.0,242.0,12/6/1994
16,BOS,lucas-nogueira,,2013,84.0,241.0,7/26/1992
17,ATL,dennis-schroder,,2013,75.0,172.0,9/15/1993
18,ATL,shane-larkin,Miami (FL),2013,71.0,175.0,10/2/1992
19,CLE,sergey-karasev,,2013,79.0,208.0,10/26/1993
20,CHI,tony-snell,New Mexico,2013,78.0,213.0,11/10/1991
21,UTA,gorgui-dieng,Louisville,2013,82.0,252.0,1/18/1990
22,BRK,mason-plumlee,Duke,2013,83.0,254.0,3/5/1990
23,IND,solomon-hill,Arizona,2013,78.0,226.0,3/18/1991
24,NYK,tim-hardaway-jr.,Michigan,2013,77.0,205.0,3/16/1992
25,LAC,reggie-bullock,UNC,2013,78.0,205.0,3/16/1991
26,MIN,andre-roberson,Colorado,2013,79.0,210.0,12/4/1991
27,DEN,rudy-gobert,,2013,84.0,258.0,6/26/1992
28,SAS,livio-jean-charles,,2013,81.0,230.0,11/8/1993
29,OKC,archie-goodwin,Kentucky,2013,77.0,200.0,8/17/1994
30,PHO,nemanja-nedovic,,2013,75.0,192.0,6/16/1991
31,CLE,allen-crabbe,California,2013,77.0,212.0,4/9/1992
32,OKC,alex-abrines,,2013,78.0,200.0,8/1/1993
33,CLE,carrick-felix,Arizona State,2013,78.0,201.0,8/17/1990
34,HOU,isaiah-canaan,Murray State,2013,72.0,201.0,5/21/1991
35,PHI,glen-rice-jr.,Georgia Tech,2013,78.0,206.0,1/1/1991
36,SAC,ray-mccallum,Detroit Mercy,2013,75.0,190.0,6/12/1991
37,DET,tony-mitchell,University of North Texas,2013,80.0,235.0,4/7/1992
38,WAS,nate-wolters,South Dakota State,2013,76.0,190.0,5/15/1991
39,POR,jeff-withey,Kansas,2013,84.0,231.0,3/7/1990
40,POR,grant-jerrett,Arizona,2013,82.0,235.0,7/8/1993
41,MEM,jamaal-franklin,San Diego State,2013,77.0,191.0,7/21/1991
42,PHI,pierre-jackson,Baylor,2013,70.0,180.0,8/29/1991
43,MIL,ricky-ledo,Providence,2013,79.0,195.0,9/10/1992
44,DAL,mike-muscala,Bucknell,2013,82.0,240.0,7/1/1991
45,POR,marko-todorovic,,2013,82.0,243.0,4/19/1992
46,UTA,erick-green,Virginia Tech,2013,76.0,185.0,5/9/1991
47,ATL,raul-neto,,2013,73.0,180.0,5/19/1992
48,LAL,ryan-kelly,Duke,2013,83.0,230.0,4/9/1991
49,CHI,erik-murphy,Florida,2013,82.0,230.0,10/26/1990
50,ATL,james-ennis,Cal State Long Beach,2013,78.0,215.0,7/1/1990
51,ORL,romero-osby,Oklahoma,2013,80.0,240.0,5/7/1990
52,MIN,lorenzo-brown,NC State,2013,77.0,189.0,8/26/1990
53,IND,colton-iverson,Colorado State,2013,84.0,255.0,6/29/1989
54,WAS,arsalan-kazemi,Oregon,2013,79.0,226.0,4/22/1990
55,MEM,joffrey-lauvergne,,2013,83.0,220.0,9/30/1991
56,DET,peyton-siva,Louisville,2013,72.0,185.0,10/24/1990
57,PHO,alex-oriakhi,Missouri,2013,81.0,255.0,6/21/1990
58,SAS,deshaun-thomas,Ohio State,2013,79.0,215.0,8/29/1991
59,MIN,bojan-dubljevic,,2013,81.0,235.0,10/24/1991
60,MEM,janis-timma,,2013,79.0,224.0,7/2/1992
1,CLE,andrew-wiggins,Kansas,2014,79.0,197.0,2/23/1995
2,MIL,jabari-parker,Duke,2014,80.0,245.0,3/15/1995
3,PHI,joel-embiid,Kansas,2014,84.0,280.0,3/16/1994
4,ORL,aaron-gordon,Arizona,2014,80.0,235.0,9/16/1995
5,UTA,dante-exum,,2014,77.0,214.0,7/13/1995
6,BOS,marcus-smart,Oklahoma State,2014,75.0,220.0,3/6/1994
7,LAL,julius-randle,Kentucky,2014,80.0,250.0,11/29/1994
8,SAC,nik-stauskas,Michigan,2014,78.0,205.0,10/7/1993
9,CHH,noah-vonleh,Indiana,2014,82.0,257.0,8/24/1995
10,PHI,elfrid-payton,Louisiana,2014,75.0,195.0,2/22/1994
11,DEN,doug-mcdermott,Creighton,2014,79.0,225.0,1/3/1992
12,ORL,dario-saric,,2014,82.0,225.0,4/8/1994
13,MIN,zach-lavine,UCLA,2014,77.0,200.0,3/10/1995
14,PHO,t.j.-warren,NC State,2014,80.0,220.0,9/5/1993
15,ATL,adreian-payne,Michigan State,2014,82.0,237.0,2/19/1991
16,CHI,jusuf-nurkic,,2014,83.0,290.0,8/23/1994
17,BOS,james-young,Kentucky,2014,78.0,215.0,8/16/1995
18,PHO,tyler-ennis,Syracuse,2014,75.0,194.0,8/24/1994
19,CHI,gary-harris,Michigan State,2014,76.0,210.0,9/14/1994
20,TOR,bruno-caboclo,,2014,81.0,218.0,9/21/1995
21,OKC,mitch-mcgary,Michigan,2014,82.0,255.0,6/6/1992
22,MEM,jordan-adams,UCLA,2014,77.0,209.0,7/8/1994
23,UTA,rodney-hood,Duke,2014,80.0,208.0,10/20/1992
24,CHH,shabazz-napier,UConn,2014,72.0,175.0,7/14/1991
25,HOU,clint-capela,,2014,82.0,240.0,5/18/1994
26,MIA,p.j.-hairston,UNC,2014,78.0,230.0,12/24/1992
27,PHO,bogdan-bogdanovic,,2014,78.0,220.0,8/18/1992
28,LAC,c.j.-wilcox,Washington,2014,77.0,195.0,12/30/1990
29,OKC,josh-huestis,Stanford,2014,79.0,230.0,12/19/1991
30,SAS,kyle-anderson,UCLA,2014,81.0,230.0,9/20/1993
31,MIL,damien-inglis,,2014,80.0,246.0,5/20/1995
32,PHI,k.j.-mcdaniels,Clemson,2014,78.0,205.0,2/9/1993
33,CLE,joe-harris,Virginia,2014,78.0,220.0,9/6/1991
34,NYK,cleanthony-early,Wichita State,2014,80.0,210.0,4/17/1991
35,UTA,jarnell-stokes,Tennessee,2014,81.0,263.0,1/7/1994
36,MIL,johnny-o'bryant,LSU,2014,81.0,257.0,6/1/1993
37,TOR,deandre-daniels,UConn,2014,81.0,195.0,4/15/1992
38,DET,spencer-dinwiddie,Colorado,2014,77.0,215.0,4/6/1993
39,PHI,jerami-grant,Syracuse,2014,80.0,210.0,3/12/1994
40,MIN,glenn-robinson-iii,Michigan,2014,78.0,222.0,1/8/1994
41,DEN,nikola-jokic,,2014,83.0,284.0,2/19/1995
42,HOU,nick-johnson,Arizona,2014,75.0,202.0,12/22/1992
43,ATL,edy-tavares,,2014,87.0,260.0,3/22/1992
44,MIN,markel-brown,Oklahoma State,2014,75.0,190.0,1/29/1992
45,CHH,dwight-powell,Stanford,2014,82.0,240.0,7/20/1991
46,WAS,jordan-clarkson,Missouri,2014,76.0,194.0,6/7/1992
47,PHI,russ-smith,Louisville,2014,72.0,165.0,4/19/1991
48,MIL,lamar-patterson,Pitt,2014,77.0,225.0,8/12/1991
49,CHI,cameron-bairstow,New Mexico,2014,81.0,250.0,12/7/1990
50,PHO,alec-brown,Green Bay,2014,85.0,235.0,7/23/1992
51,NYK,thanasis-antetokounmpo,,2014,78.0,219.0,7/18/1992
52,PHI,vasilije-micic,,2014,77.0,200.0,1/13/1994
53,MIN,alessandro-gentile,,2014,79.0,230.0,11/12/1992
54,PHI,nemanja-dangubic,,2014,80.0,193.0,4/13/1993
55,MIA,semaj-christon,Xavier,2014,75.0,190.0,11/1/1992
56,DEN,devyn-marble,Iowa,2014,78.0,200.0,9/21/1992
57,IND,louis-labeyrie,,2014,82.0,200.0,2/11/1992
58,SAS,jordan-mcrae,Tennessee,2014,77.0,179.0,3/28/1991
59,TOR,xavier-thames,San Diego State,2014,75.0,195.0,1/19/1991
60,SAS,cory-jefferson,Baylor,2014,81.0,218.0,12/26/1990
1,MIN,karl-anthony-towns,Kentucky,2015,83.0,248.0,11/15/1995
2,LAL,d'angelo-russell,Ohio State,2015,76.0,193.0,2/23/1996
3,PHI,jahlil-okafor,Duke,2015,82.0,270.0,12/15/1995
4,NYK,kristaps-porzingis,,2015,87.0,240.0,8/2/1995
5,ORL,mario-hezonja,,2015,80.0,220.0,2/25/1995
6,SAC,willie-cauley-stein,Kentucky,2015,84.0,240.0,8/18/1993
7,DEN,emmanuel-mudiay,,2015,75.0,200.0,3/5/1996
8,DET,stanley-johnson,Arizona,2015,78.0,242.0,5/29/1996
9,CHO,frank-kaminsky,Wisconsin,2015,84.0,240.0,4/4/1993
10,MIA,justise-winslow,Duke,2015,78.0,222.0,3/26/1996
11,IND,myles-turner,Texas,2015,83.0,250.0,3/24/1996
12,UTA,trey-lyles,Kentucky,2015,81.0,234.0,11/5/1995
13,PHO,devin-booker,Kentucky,2015,77.0,206.0,10/30/1996
14,OKC,cameron-payne,Murray State,2015,73.0,183.0,8/8/1994
15,ATL,kelly-oubre-jr.,Kansas,2015,79.0,203.0,12/9/1995
16,BOS,terry-rozier,Louisville,2015,73.0,190.0,3/17/1994
17,MIL,rashad-vaughn,UNLV,2015,78.0,202.0,8/16/1996
18,HOU,sam-dekker,Wisconsin,2015,81.0,230.0,5/6/1994
19,WAS,jerian-grant,Notre Dame,2015,76.0,205.0,10/9/1992
20,TOR,delon-wright,Utah,2015,77.0,185.0,4/26/1992
21,DAL,justin-anderson,Virginia,2015,78.0,230.0,11/19/1993
22,CHI,bobby-portis,Arkansas,2015,82.0,250.0,2/10/1995
23,POR,rondae-hollis-jefferson,Arizona,2015,78.0,217.0,1/3/1995
24,CLE,tyus-jones,Duke,2015,72.0,196.0,5/10/1996
25,MEM,jarell-martin,LSU,2015,82.0,239.0,5/24/1994
26,SAS,nikola-milutinov,,2015,83.0,235.0,12/30/1994
27,LAL,larry-nance-jr.,Wyoming,2015,79.0,245.0,1/1/1993
28,BOS,r.j.-hunter,Georgia State University,2015,77.0,185.0,10/24/1993
29,BRK,chris-mccullough,Syracuse,2015,83.0,200.0,2/5/1995
30,GSW,kevon-looney,UCLA,2015,81.0,222.0,2/6/1996
31,MIN,cedi-osman,,2015,79.0,230.0,4/8/1995
32,HOU,montrezl-harrell,Louisville,2015,79.0,240.0,1/26/1994
33,BOS,jordan-mickey,LSU,2015,80.0,235.0,7/9/1994
34,LAL,anthony-brown,Stanford,2015,79.0,210.0,10/10/1992
35,PHI,willy-hernangomez,,2015,83.0,250.0,5/27/1994
36,MIN,rakeem-christmas,Syracuse,2015,81.0,250.0,12/1/1991
37,PHI,richaun-holmes,Bowling Green,2015,82.0,235.0,10/15/1993
38,DET,darrun-hilliard,Villanova,2015,78.0,205.0,4/13/1993
39,CHO,juan-pablo-vaulet,,2015,78.0,200.0,3/22/1996
40,MIA,josh-richardson,Tennessee,2015,77.0,200.0,9/15/1993
41,BRK,pat-connaughton,Notre Dame,2015,77.0,209.0,1/6/1993
42,UTA,olivier-hanlan,Boston College,2015,76.0,190.0,2/15/1993
43,IND,joe-young,Oregon,2015,74.0,180.0,6/27/1992
44,PHO,andrew-harrison,Kentucky,2015,78.0,213.0,10/28/1994
45,BOS,marcus-thornton,William & Mary,2015,76.0,190.0,2/9/1993
46,MIL,norman-powell,UCLA,2015,75.0,215.0,5/25/1993
47,PHI,arturas-gudaitis,,2015,82.0,254.0,6/19/1993
48,OKC,dakari-johnson,Kentucky,2015,84.0,255.0,9/22/1995
49,WAS,aaron-white,Iowa,2015,81.0,210.0,9/10/1992
50,ATL,marcus-eriksson,,2015,79.0,178.0,12/5/1993
51,ORL,tyler-harvey,Eastern Washington,2015,76.0,185.0,7/17/1993
52,DAL,satnam-singh,,2015,86.0,290.0,12/10/1995
53,CLE,sir'dominic-pointer,St. John's,2015,78.0,192.0,5/6/1992
54,UTA,dani-diez,,2015,79.0,212.0,4/7/1993
55,SAS,cady-lalanne,UMass,2015,82.0,253.0,4/22/1992
56,NOP,branden-dawson,Michigan State,2015,78.0,225.0,2/1/1993
57,DEN,nikola-radicevic,,2015,78.0,200.0,4/25/1994
58,PHI,j.p.-tokoto,UNC,2015,78.0,200.0,9/15/1993
59,ATL,dimitrios-agravanis,,2015,82.0,235.0,12/20/1994
60,PHI,luka-mitrovic,,2015,81.0,230.0,3/21/1993
1,PHI,ben-simmons,LSU,2016,83.0,240.0,7/20/1996
2,LAL,brandon-ingram,Duke,2016,80.0,190.0,9/2/1997
3,BOS,jaylen-brown,California,2016,78.0,223.0,10/24/1996
4,PHO,dragan-bender,,2016,84.0,225.0,11/17/1997
5,MIN,kris-dunn,Providence,2016,75.0,205.0,3/18/1994
6,NOP,buddy-hield,Oklahoma,2016,76.0,220.0,12/17/1992
7,DEN,jamal-murray,Kentucky,2016,75.0,215.0,2/23/1997
8,SAC,marquese-chriss,Washington,2016,81.0,240.0,7/2/1997
9,TOR,jakob-poeltl,Utah,2016,85.0,245.0,10/15/1995
10,MIL,thon-maker,,2016,84.0,221.0,2/25/1997
11,ORL,domantas-sabonis,Gonzaga,2016,83.0,240.0,5/3/1996
